material,lat,lng,geometry
aluminium,52.2442,4.84115,POINT (4.84115 52.2442)
brick,51.81788,5.19006,POINT (5.19006 51.81788)
cement_cover-floor,51.9923048218314,5.10353834430796,POINT (5.10353834430796 51.9923048218314)
concrete_in-situ,52.13638,4.56134,POINT (4.56134 52.13638)
concrete_prefab,52.71168,4.96228,POINT (4.96228 52.71168)
furnishing_stone,53.05034,5.40687,POINT (5.40687 53.05034)
glass,51.92024,5.91453,POINT (5.91453 51.92024)
gravel_sand,52.01771,4.68731,POINT (4.68731 52.01771)
gypsum,51.9923048218314,5.10353834430796,POINT (5.10353834430796 51.9923048218314)
isolation,52.6812481541012,4.83194430979782,POINT (4.83194430979782 52.6812481541012)
plastic,52.4017720681597,4.83807929112083,POINT (4.83807929112083 52.4017720681597)
rubber,52.0531152457015,4.975850514853,POINT (4.975850514853 52.0531152457015)
steel,52.400261571861,4.65663151880159,POINT (4.65663151880159 52.400261571861)
timber,47.1474583901341,14.2770854691758,POINT (14.2770854691758 47.1474583901341)
modules,51.214695039055,6.19537832818567,POINT (6.19537832818567 51.214695039055)
bitumen,52.0531152457015,4.975850514853,POINT (4.975850514853 52.0531152457015)
plaster,51.9923048218314,5.10353834430796,POINT (5.10353834430796 51.9923048218314)
biobased,52.20499,6.94947,POINT (6.94947 52.20499)
